id,name,population,SARSCASES,SARSDEATHS,SARSRECOVERED,MERSC,H1N1D,H1N1C,MERSCA,MERSD,CC,CD
CHN,China,1330141295,7753,730,6881,1,714,62871,1,0,82747,4632
IND,India,1173108018,3,0,3,0,1404,28465,0,0,15722,521
USA,USA,310232863,75,0,67,0,2635,57602,2,0,732197,38664
RUS,Russia,139390205,1,0,0,0,0,0,0,0,36793,313
JPN,Japan,126804433,0,0,0,0,145,5022,0,0,10296,222
DEU,Germany,82282988,10,0,9,3,243,19893,3,2,143342,4459
FRA,France,64057792,7,1,6,2,309,1125,2,1,147969,19323
GBR,England,61284806,4,0,4,5,447,28823,4,3,114217,15464
ITA,Italy,58090681,4,0,4,1,1,2470,1,0,175925,23227
CAN,Canada,33759742,250,38,194,0,0,0,0,0,34355,1399
SAU,Saudi Arabia,29207277,0,0,0,2058,128,14500,1165,498,8274,92
AUS,Australia,21515754,0,0,0,0,191,37553,0,0,6547,67
NLD,Netherlands,16783092,0,0,0,2,59,1473,2,0,31589,3601
SWE,Sweden,9074055,3,0,3,0,24,1381,0,0,13822,1511
CHE,Switzerland,7623438,1,0,1,0,16,1196,0,0,27404,1368
DNK,Denmark,5515575,0,0,0,0,0,651,0,0,7242,346
FIN,Finland,5255068,1,0,1,0,0,305,0,0,3681,90
ARE,United Arab Emirates,4975593,0,0,0,87,6,79,81,11,6302,37
NOR,Norway,4676305,0,0,0,0,29,1336,0,0,7036,164
NZL,New Zealand,4252277,1,0,1,0,20,3199,0,0,1422,11
QAT,Qatar,840926,0,0,0,19,10,23,13,5,5008,8